libYSFFT.so,4,com.hefe.pro.editor,com.apus.camera.id,com.bolangdev.poni,com.apusapps.fulakora
libavformat-57.so,3,com.camera.galaxyx,com.galaxys.camera4k,com.camera.s9.camera
libtensorflow-android.so,1,com.grammarly.android.keyboard
libnative-lib.so,2,com.linecorp.b612.android,com.campmobile.snow
libeffects-framework_graphics-engineAndroid.so,3,com.facebook.talk,com.instagram.android,com.instagram.igtv
libimagepipeline.so,1,com.nhn.android.webtoon
libmlabmakeup.so,3,com.meitu.makeup,com.meitu.partynow,com.mt.mtxx.mtxx
libjscAndroid.so,2,com.facebook.talk,com.instagram.igtv
libmtphotosegment.so,3,com.meitu.makeup,com.meitu.meiyancamera,com.mt.mtxx.mtxx
libMailCore.so,1,com.easilydo.mail
libAgeGender.so,4,com.hefe.pro.editor,com.apus.camera.id,com.bolangdev.poni,com.apusapps.fulakora
libcom.jd.lib.community.so,1,com.jingdong.app.mall
libdAvatarDnn.so,1,com.kwai.video
libcaffe2_caffe2_igAndroid.so,2,com.instagram.android,com.instagram.igtv
libst_mobile.so,19,com.nhn.android.webtoon,com.asiainno.uplive,com.xingin.xhs,com.camera.galaxyx,com.galaxys.camera4k,com.mico,com.commsource.beautyplus,com.meitu.meiyancamera,com.naver.vapp,com.linecorp.b612.android,com.campmobile.snow,com.uc.vmate,jp.naver.line.android,com.joeware.android.gpulumera,video.like,com.asiainno.uplive.yuanfen,com.duowan.supervideo,com.sina.weibo,com.camera.s9.camera
libyoudaoocr.so,1,com.youdao.hindict
libzegoliveroom.so,3,com.asiainno.uplive,com.mico,com.sina.weibo
libstmobile_jni.so,15,com.nhn.android.webtoon,com.asiainno.uplive,com.xingin.xhs,com.mico,com.commsource.beautyplus,com.meitu.meiyancamera,com.naver.vapp,com.linecorp.b612.android,com.campmobile.snow,com.uc.vmate,jp.naver.line.android,com.joeware.android.gpulumera,video.like,com.asiainno.uplive.yuanfen,com.duowan.supervideo
libcom.jd.lib.commune.so,1,com.jingdong.app.mall
libfbjsc.so,1,com.instagram.android
libAPSE_1.4.12.so,1,com.eg.android.AlipayGphone
libair.so,1,com.uc.vmate
libcaffe_jni.so,1,ch.zhaw.facerecognition
libaudioengine.so,1,com.duowan.supervideo
libaqts.so,1,com.sina.weibo
libhere_blue_component.so,1,com.google.android.googlequicksearchbox
libcom.jd.lib.frostfire.so,1,com.jingdong.app.mall
libLiveStreamer.so,1,com.naver.vapp
libsnap-cv.1.0-release.10.41.6d1abe7.1895.so,1,com.snapchat.android
libGrindingPredictionJavaLib.so,1,com.bruxlabsnore
libface.so,1,com.snapchat.android
libsophix.so,1,com.alibaba.intl.android.apps.poseidon
